

Results from heasarc_hipparcos: Hipparcos Main Catalog
Coordinate system:  Equatorial
|pm_ra   |pm_dec  |hip_number|vmag |ra_deg      |dec_deg     |hd_id |
|   -1.03|   -1.86|     26207| 3.39|083.78449043|+09.93416294| 36861|
|  108.66|  -26.39|     20894| 3.40|067.16531219|+15.87094680| 28319|
| -113.94|  -71.00|     74395| 3.41|228.07167982|-52.09907465|134505|
|   77.38|  -10.98|    112029| 3.41|340.36531181|+10.83139111|214923|
|   86.08|  817.89|    102422| 3.41|311.32195263|+61.83679404|198149|
|  -26.01|  -20.38|     67464| 3.41|207.37623920|-41.68765971|120307|
|  -18.21| -207.71|      6867| 3.41|022.09142360|-43.31772906|  9053|
|   -8.15|  -11.98|     18724| 3.41|060.17008591|+12.49037571| 25204|
|  -16.58|  -27.06|     78384| 3.42|240.03058543|-38.39664079|143118|
|  -42.40|   10.57|    102395| 3.42|311.23981530|-66.20323826|197051|
| -291.42| -750.00|     86974| 3.42|266.61549553|+27.72249917|161797|
|   12.02| -233.69|      8796| 3.42|028.27041595|+29.57939727| 11443|
|   19.84|   -7.30|     50335| 3.43|154.17251805|+23.41732840| 89025|
|  -17.67|   14.14|     45080| 3.43|137.74210535|-58.96693014| 79351|
|  -19.68|  -90.37|     93805| 3.43|286.56229139|-04.88233456|177756|
| -170.11|  -42.64|     50372| 3.45|154.27469564|+42.91446855| 89021|
|  -28.38|   16.76|     38827| 3.46|119.19475729|-52.98240062| 65575|
|  215.81| -138.33|      5364| 3.46|017.14693197|-10.18192800|  6805|
| 1087.11| -559.65|      3821| 3.46|012.27125262|+57.81654770|  4614|
|   84.84| -110.57|     74666| 3.46|228.87543241|+33.31510222|135722|
|  -23.85|  -19.22|     67472| 3.47|207.40419934|-42.47368506|120324|
| -146.43| -145.27|     12706| 3.47|040.82551897|+03.23617162| 16970|
|   35.58|  -84.98|     81833| 3.48|250.72391068|+38.92246103|150997|
|   -1.94|   -0.53|     49583| 3.48|151.83313948|+16.76266572| 87737|
|  -40.20|  -29.22|     73555| 3.49|225.48663804|+40.39063671|133208|
|   -6.01|    4.64|     33856| 3.49|105.42979876|-27.93484165| 52877|
|  -26.61|   27.51|     55219| 3.49|169.61981385|+33.09423881| 98262|
|-1721.82|  854.07|      8102| 3.49|026.02136441|-15.93955597| 10700|
|  108.47|  -65.93|    112623| 3.49|342.13832136|-51.31670354|215789|
|  -16.68|  -53.33|     90422| 3.49|276.74345947|-45.96832919|169467|
|  -18.72|   -7.76|     35550| 3.50|110.03078890|+21.98233941| 56986|
|   -9.18|    4.04|     32759| 3.50|102.46027285|-32.50848752| 50013|
|  -66.10| -124.74|    112724| 3.50|342.42046735|+66.20071089|216228|
|  144.11|  -43.44|    112748| 3.51|342.50041810|+24.60168486|216131|
|   64.37|   22.58|     98337| 3.51|299.68911516|+19.49209287|189319|
|  281.96|   31.23|    109427| 3.52|332.54924902|+06.19778900|210418|
|  -13.13|    2.83|     48774| 3.52|149.21564520|-54.56779730| 86440|
|    1.10|   -4.46|     92420| 3.52|282.51997462|+33.36267788|174638|
|   34.91|  -12.33|     93085| 3.52|284.43241556|-21.10662433|175775|
| -143.67|  -37.45|     47508| 3.52|145.28799116|+09.89239902| 83808|
|  -91.71|  742.23|     17378| 3.52|055.81231706|-09.76519868| 23249|
|  107.23|  -36.77|     20889| 3.53|067.15388879|+19.18052092| 28305|
|  -46.80|  -48.65|     40526| 3.53|124.12895101|+09.18566295| 69267|
|  -39.30|  -61.27|     86263| 3.54|264.39677181|-15.39840835|159876|
| -209.09|  -41.60|     56343| 3.54|173.25107936|-31.85752405|100407|
|  -98.07|  -27.41|     77516| 3.54|237.40527375|-03.43014112|141513|
|   62.31|   -6.75|     20042| 3.55|064.47341068|-33.79833145| 27376|
|  -14.84|   -1.18|     27288| 3.55|086.73895728|-14.82194717| 38678|
| 1210.29|-1130.34|     99240| 3.55|302.17441713|-66.17932101|190248|
|  531.08| -351.59|     89937| 3.55|275.25974572|+72.73369763|170153|
|  -12.81|   -3.79|     69996| 3.55|214.85096972|-46.05808391|125238|
|  -14.37|  -37.84|      1562| 3.56|004.85701265|-08.82382948|  1522|
| -124.47|  206.61|     55282| 3.56|169.83551103|-14.77904358| 98430|
|   90.75|  -21.90|     10602| 3.56|034.12708452|-51.51211145| 14228|
|  -12.92|  -23.80|     82545| 3.56|253.08397295|-38.01747781|151985|
| -100.44|  120.22|     71053| 3.57|217.95774098|+30.37114497|127665|
|  -37.37|  -55.39|     44471| 3.57|135.90649494|+47.15665934| 77327|
|  -22.45|  -56.24|     37740| 3.57|116.11195237|+24.39812929| 62345|
|  -91.85|  -86.03|     75177| 3.57|230.45181856|-36.26116729|136422|
|   61.78|    2.85|    100064| 3.58|304.51341030|-12.54485877|192947|
|  -46.09|  -37.90|     35350| 3.58|109.52336162|+16.54047526| 56537|
| -171.06|   91.82|     60260| 3.59|185.34088036|-60.40136988|107446|
| -292.42| -368.45|     27072| 3.59|086.11656241|-22.44748663| 38393|
|  -15.31|   -9.57|     24674| 3.59|079.40166225|-06.84438616| 34503|
|   60.90| -112.42|      7607| 3.59|024.49792651|+48.62848641|  9927|
|  740.96| -271.18|     57757| 3.59|177.67202553|+01.76537705|102870|
|  -53.65|  -99.37|     85727| 3.60|262.77490395|-60.68360667|158094|
|  -24.62|   35.09|     42536| 3.60|130.07337168|-52.92197259| 74195|
| -147.14|   48.65|     46651| 3.60|142.67547063|-40.46688763| 82434|
|   -2.66|  -47.67|     33018| 3.60|103.19725030|+33.96136985| 50019|
|  -13.26|   -3.48|     76470| 3.60|234.25607748|-28.13507099|139063|
|  -78.38| -206.88|      6537| 3.60|021.00604671|-08.18275372|  8512|
| -200.33| -100.28|     49841| 3.61|152.64748785|-12.35383921| 88284|
